"figure","file","relative_path","label","caption","alt_text","description","format","rows","models","width","height","dpi","placement","status"
"cpue-fits","cpue-fits.png","figures/cpue-fits.png","CPUE observed and fitted","Observed and fitted CPUE for the 2026 bigeye tuna assessment. Points show observed index values and fitted lines show model predictions; facets and legends identify selected fisheries, CPUE series, and assessment models.","Observed and fitted CPUE for the 2026 bigeye tuna assessment. Points show observed index values and fitted lines show model predictions; facets and legends identify selected fisheries, CPUE series, and assessment models.","CPUE","png",NA,NA,12,8,150,"auto","ok"
"cpue-residuals","cpue-residuals.png","figures/cpue-residuals.png","CPUE residuals","CPUE residuals for the 2026 bigeye tuna assessment. Values show observed minus fitted CPUE for selected index fisheries; facets and colours, line styles, or legends identify assessment models and CPUE series.","CPUE residuals for the 2026 bigeye tuna assessment. Values show observed minus fitted CPUE for selected index fisheries; facets and colours, line styles, or legends identify assessment models and CPUE series.","CPUE","png",NA,NA,12,8,150,"auto","ok"
"cpue-regional-share","cpue-regional-share.png","figures/cpue-regional-share.png","CPUE regional share","Regional CPUE share compared with regional biomass share for the 2026 bigeye tuna assessment. Bars compare the regional distribution of the selected CPUE series and CPUE scaling target with the selected biomass basis, highlighting scale or spatial consistency across regions.","Regional CPUE share compared with regional biomass share for the 2026 bigeye tuna assessment. Bars compare the regional distribution of the selected CPUE series and CPUE scaling target with the selected biomass basis, highlighting scale or spatial consistency across regions.","CPUE","png",NA,NA,12,8,150,"auto","ok"
"total-catch-fits","total-catch-fits.png","figures/total-catch-fits.png","Total catch observed and fitted","Total catch observed and fitted for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Total catch observed and fitted for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch","png",NA,NA,12,7,150,"auto","ok"
"total-catch-residuals","total-catch-residuals.png","figures/total-catch-residuals.png","Total catch residuals","Total catch residuals for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Total catch residuals for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch","png",NA,NA,12,7,150,"auto","ok"
"catch-by-fishery-fits","catch-by-fishery-fits.png","figures/catch-by-fishery-fits.png","Catch observed and fitted by fishery","Catch observed and fitted by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch observed and fitted by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch","png",NA,NA,12,9.5,150,"auto","ok"
"catch-by-fishery-residuals","catch-by-fishery-residuals.png","figures/catch-by-fishery-residuals.png","Catch residuals by fishery","Catch residuals by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch residuals by fishery for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Catch view.","Catch","png",NA,NA,12,9.5,150,"auto","ok"
"length-frequency","length-frequency.png","figures/length-frequency.png","Length-frequency fits","Observed and fitted length-frequency samples for the 2026 bigeye tuna assessment. Bars show observed sample counts and fitted overlays show model predictions; panels identify selected fisheries and years, and colours, line styles, or legends identify assessment models.","Observed and fitted length-frequency samples for the 2026 bigeye tuna assessment. Bars show observed sample counts and fitted overlays show model predictions; panels identify selected fisheries and years, and colours, line styles, or legends identify assessment models.","Length Frequency","png",NA,NA,8.27,11.69,150,"auto","ok"
"length-frequency-residuals","length-frequency-residuals.png","figures/length-frequency-residuals.png","Length-frequency residuals","Length-frequency bubble residuals for the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin, fishery, and year for the selected assessment models.","Length-frequency bubble residuals for the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin, fishery, and year for the selected assessment models.","Length Frequency","png",NA,NA,8.27,11.69,150,"auto","ok"
"key-quantities","key-quantities.png","figures/key-quantities.png","Key quantities","Key derived quantities for the 2026 bigeye tuna assessment. Panels show dynamic spawning depletion (SB/SB[F=0]), recruitment, spawning potential, and annual instantaneous fishing mortality through time. Lines identify the selected assessment models; colours or line styles distinguish models when multiple scenarios are plotted. The depletion panel includes dashed reference lines at 0.2 and 0.5.","Key derived quantities for the 2026 bigeye tuna assessment. Panels show dynamic spawning depletion (SB/SB[F=0]), recruitment, spawning potential, and annual instantaneous fishing mortality through time. Lines identify the selected assessment models; colours or line styles distinguish models when multiple scenarios are plotted. The depletion panel includes dashed reference lines at 0.2 and 0.5.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"depletion-by-area","depletion-by-area.png","figures/depletion-by-area.png","Depletion by area","Dynamic spawning depletion by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so regional depletion patterns can be compared through time.","Dynamic spawning depletion by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so regional depletion patterns can be compared through time.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"recruitment-by-area","recruitment-by-area.png","figures/recruitment-by-area.png","Recruitment by area","Estimated annual recruitment by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so spatial recruitment patterns can be compared through time.","Estimated annual recruitment by model region for the 2026 bigeye tuna assessment. Panels or line groups identify model areas, and colours identify selected assessment models so spatial recruitment patterns can be compared through time.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
